"id","geoid","metro","region","lat","lon","year","oned_index","economy_index","education_index","equity_index","quality_of_life_index","transit_index","econ_exports","econ_gmp","econ_hightech","econ_kiemploy","econ_mhhinc","econ_pcpi","econ_pop2534","econ_povrt","econ_techpatents","econ_biztaxindex","econ_rdsharegdp","econ_vcpc","edu_pctbachhigher2534","edu_pctbachhigher","edu_ppstatebudget","edu_ppspending","edu_enrolled","edu_hsdiploma","edu_naep4math","edu_naep4read","edu_naep4sci","edu_naep8math","edu_naep8read","edu_naep8sci","edu_unemployednohs","equity_fbpop","equity_gini","equity_incshareq1","equity_incshareq2","equity_incshareq3","equity_incshareq4","equity_incshareq5","equity_incsharetop5","equity_medhhincblack","equity_medhhinchisp","equity_medhhincwhite","equity_medhhinctotal","equity_childpovrtblack","equity_childpovrthisp","equity_childpovrtwhite","equity_childpovrttotal","equity_homeownershipblack","equity_homeownershiphisp","equity_homeownershipwhite","equity_homeownershiptotal","qol_aqi","qol_homeownershiptotal","qol_popchange","qol_popwohealthins","qol_vcrimert","qol_vthourspc","qol_obese","qol_physicians","transit_hoursdelayedpc","transit_caralone","transit_novehicle","transit_statefunding","transit_bustrips","transit_bridgecondition"
37,37,"Orlando-Deltona-Daytona Beach, FL","Southeast",28.5421175,-81.3790462,2009,1.66,2.07,0.96,1.26,1.38,4.60,154353885.40,92871.32,0.1527,0.0310,73813.42,46293.78,0.0277,0.1183,0.1162,1.75,0.0124,85.16,0.2344,0.3044,7762.64,4675.28,0.1300,0.9440,476.26,496.98,155.29,264.31,412.34,5.86,0.0494,0.1708,0.24,0.0431,0.0944,0.1577,0.2227,0.4882,0.2289,92604.36,38185.47,57829.37,58086.89,0.1016,0.1450,0.1389,0.1671,0.5232,0.8617,0.4055,0.1025,0.5160,0.9299,0.0149,0.0960,256.73,33.37,0.0214,139.72,27,0.7432,0.0684,117.90,0.8802,0.1632
38,38,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Northeast",39.952335,-75.163789,2009,1.78,2.03,1.12,0.52,1.00,1.32,65653392.30,33343.19,0.4483,0.0711,19052.22,71963.33,0.0190,0.0914,0.0365,9.44,0.0783,204.94,0.1903,0.0332,14055.62,2449.81,0.1511,0.9013,311.67,332.39,88.95,310.96,47.62,235.91,0.0146,0.0644,0.35,0.0305,0.0994,0.1568,0.2567,0.4771,0.1903,40387.02,35721.93,56980.35,11187.67,0.1353,0.1306,0.0206,0.2380,0.9913,0.5349,0.2497,0.8498,0.8970,0.1112,0.0101,0.0635,239.91,36.26,0.3903,137.15,51,0.6122,0.0822,209.65,0.0736,0.1473
39,39,"Phoenix-Mesa-Scottsdale, AZ","Southwest",33.361168,-112.12130217,2009,3.46,3.02,2.30,1.01,3.81,3.02,1005494894.41,1317.76,0.1182,0.2823,17702.52,1970.00,0.0203,0.0309,0.0539,0.65,0.0569,225.87,0.4820,0.2834,624.97,91.01,0.1555,0.8044,370.83,499.55,466.68,12.79,498.56,265.29,0.0162,0.0281,0.39,0.0409,0.0985,0.1549,0.2309,0.5046,0.2171,37426.82,60114.94,13452.55,88573.62,0.2094,0.2449,0.1746,0.1277,0.9638,0.1226,0.8114,0.3987,0.4732,0.8890,0.0213,0.0643,263.32,0.42,0.3437,203.53,68,0.9527,0.0463,214.87,0.5340,0.2750
40,40,"Pittsburgh-New Castle, PA","Midwest",40.4416941,-79.9900861,2009,4.30,3.75,4.53,1.51,3.55,2.37,610614565.39,32991.19,0.2678,0.0835,62527.35,18714.61,0.0042,0.1627,0.1373,0.47,0.0174,426.34,0.1429,0.0718,673.51,8958.47,0.0930,0.9551,85.86,478.56,123.54,290.81,267.36,376.94,0.0497,0.0988,0.38,0.0294,0.0852,0.1415,0.2525,0.4771,0.2210,33429.29,27942.26,1883.73,78483.14,0.0017,0.1905,0.1269,0.0580,0.1420,0.2921,0.7903,0.3453,0.6602,0.9587,0.0200,0.0650,251.31,24.28,0.4644,358.30,23,0.5440,0.0896,69.94,0.0070,0.4485
41,41,"Portland-Vancouver-Beaverton, OR-WA","West",45.5202471,-122.6741949,2009,2.38,2.21,1.06,0.88,4.54,0.78,868578332.20,54904.77,0.4710,0.4295,66743.50,49854.55,0.0166,0.1287,0.1110,3.04,0.0680,30.14,0.3957,0.4128,8864.29,5112.68,0.2337,0.9151,37.54,491.73,495.13,319.14,237.08,429.03,0.0082,0.0391,0.32,0.0255,0.0827,0.1435,0.2562,0.5133,0.1930,61277.20,58480.52,59368.52,53516.26,0.0224,0.0831,0.1648,0.1813,0.7925,0.5854,0.5097,0.7081,0.5278,0.5798,0.0087,0.0610,179.91,35.84,0.4398,344.41,71,0.7192,0.0855,25.70,0.0233,0.1010
42,42,"Raleigh-Durham-Cary, NC","Southeast",35.7804015,-78.6390779,2009,0.78,2.93,4.62,3.96,4.59,2.05,434376618.08,17420.97,0.4276,0.2318,92141.63,46565.65,0.0106,0.2104,0.1779,3.73,0.0110,369.22,0.2231,0.4691,385.03,6368.85,0.0596,0.8025,397.20,139.17,258.09,317.11,156.79,11.83,0.0179,0.1606,0.22,0.0297,0.1110,0.1631,0.2271,0.4887,0.2109,51561.25,9628.28,87150.68,82856.65,0.2452,0.1421,0.1931,0.1572,0.2624,0.1092,0.9962,0.6261,0.9576,0.5858,0.0008,0.2168,443.94,21.38,0.0731,397.72,76,0.6685,0.0713,127.52,0.3438,0.4529
43,43,"Richmond, VA","Southeast",37.541239,-77.4420183,2009,1.20,2.45,1.07,0.91,4.67,2.66,800107472.06,6309.82,0.3178,0.4378,428.26,33032.09,0.0324,0.2337,0.1818,1.50,0.0123,247.76,0.1565,0.2572,7084.10,8410.31,0.0634,0.9842,98.54,383.26,87.84,208.10,278.26,491.43,0.0015,0.2490,0.33,0.0469,0.0939,0.1449,0.2495,0.4999,0.2291,33734.14,28873.75,75314.23,4307.77,0.1418,0.1785,0.0708,0.1739,0.0190,0.3163,0.6176,0.2828,0.2910,0.6273,0.0064,0.0288,105.04,12.73,0.3983,277.82,45,0.5243,0.0455,351.62,0.3260,0.0319
44,44,"Rochester-Batavia-Seneca Falls, NY","Northeast",43.1572851,-77.6152141,2009,0.34,3.99,2.48,4.65,0.42,4.52,97721147.54,44941.98,0.1062,0.1665,8267.53,18957.29,0.0337,0.2366,0.1396,8.51,0.0528,38.78,0.3773,0.2522,3141.32,1959.10,0.1399,0.8831,447.60,315.03,57.99,411.06,125.69,334.45,0.0237,0.1938,0.15,0.0392,0.0950,0.1513,0.2237,0.4745,0.2134,36063.58,40417.00,54318.63,29942.24,0.1703,0.2106,0.0188,0.2463,0.0055,0.7975,0.4892,0.1186,0.7413,0.8518,0.0181,0.2456,282.01,0.43,0.0441,278.25,61,0.9486,0.0556,136.08,0.7518,0.2935
45,45,"Sacramento--Arden-Arcade--Yuba City, CA-NV","West",38.4732259,-121.2980707,2009,2.81,1.63,0.53,0.66,3.93,2.37,791163511.06,80545.65,0.1172,0.2722,62456.31,43953.88,0.0233,0.2173,0.1117,3.46,0.0656,236.32,0.4260,0.3178,12613.64,13278.01,0.2362,0.9438,264.72,276.40,305.07,204.40,261.57,400.53,0.0292,0.0920,0.29,0.0470,0.1118,0.1360,0.2549,0.4732,0.2169,62601.26,33737.45,55215.58,61972.90,0.0407,0.1189,0.2140,0.1444,0.4143,0.5767,0.8290,0.8046,0.4184,0.4601,0.0257,0.2476,251.62,11.71,0.3776,101.46,72,0.5236,0.0006,168.69,0.5501,0.1604
46,46,"Salt Lake City-Ogden-Clearfield, UT","West",40.7606467,-111.89109,2009,2.72,0.42,2.14,1.67,3.61,3.63,310083898.67,30158.98,0.1957,0.2557,29390.35,84260.84,0.0076,0.2019,0.1287,7.84,0.0276,470.05,0.2379,0.2903,1800.49,13556.59,0.1106,0.8986,22.84,147.09,340.76,265.04,424.69,13.85,0.0103,0.2014,0.41,0.0405,0.0917,0.1478,0.2395,0.4993,0.2174,59180.13,24086.24,18713.95,950.71,0.0332,0.0158,0.2026,0.1567,0.0585,0.5606,0.9614,0.6895,0.9386,0.2459,0.0184,0.2129,228.35,27.55,0.4649,353.27,30,0.6999,0.0450,303.89,0.1413,0.2841
47,47,"San Antonio, TX","Southwest",29.4246002,-98.4951405,2009,4.83,0.01,2.79,3.82,4.35,4.98,304544763.59,10621.06,0.0788,0.4281,74932.18,80840.21,0.0074,0.0509,0.1250,4.23,0.0718,166.50,0.3508,0.3738,11961.18,9469.94,0.2424,0.8742,454.28,198.01,356.33,62.93,36.84,57.99,0.0289,0.1244,0.29,0.0360,0.1132,0.1488,0.2287,0.4862,0.1890,96749.58,36589.43,96119.95,11105.16,0.2114,0.1004,0.1929,0.0277,0.8026,0.9565,0.5862,0.1021,0.0942,0.1753,0.0075,0.1362,729.88,1.82,0.1867,148.12,25,0.9911,0.0848,50.34,0.1601,0.3223
48,48,"San Diego-Carlsbad-San Marcos, CA","Southwest",32.7469869,-117.21177,2009,3.61,0.12,0.65,4.77,2.29,3.05,836851841.03,33493.29,0.3783,0.2316,91458.69,55870.64,0.0087,0.1630,0.1838,2.34,0.0382,366.88,0.2825,0.3734,13476.29,12096.77,0.1030,0.8908,34.44,19.02,420.77,396.13,419.20,151.88,0.0222,0.2430,0.07,0.0501,0.0939,0.1569,0.2434,0.4887,0.2098,38153.37,68085.50,25961.79,27539.61,0.1759,0.1018,0.2426,0.2151,0.7844,0.5145,0.7495,0.6032,0.8652,0.0338,0.0268,0.0320,571.28,13.54,0.4653,181.53,11,0.7522,0.0149,230.05,0.2485,0.2362
49,49,"San Jose-San Francisco-Oakland, CA","West",37.3438502,-121.8831349,2009,1.28,3.50,2.70,3.53,4.65,4.58,715400632.42,29792.91,0.1640,0.4749,73675.47,14600.86,0.0102,0.1283,0.1672,0.23,0.0071,176.58,0.3495,0.1633,5129.74,8851.39,0.1177,0.8502,187.17,163.83,480.89,2.77,194.63,488.45,0.0347,0.2420,0.05,0.0493,0.0846,0.1370,0.2285,0.5049,0.2024,29223.99,20746.53,32346.63,75703.38,0.1629,0.0331,0.1602,0.1511,0.5494,0.7929,0.2472,0.6400,0.6203,0.8947,0.0139,0.0350,319.19,9.43,0.0333,137.37,12,0.8487,0.0753,222.12,0.4653,0.3943
50,50,"Seattle-Tacoma-Olympia, WA","West",47.6038321,-122.3300624,2009,3.11,3.44,3.34,0.23,4.29,2.34,185972098.45,50418.81,0.0327,0.0735,23716.65,9322.66,0.0025,0.2074,0.1510,9.13,0.0290,306.12,0.2291,0.4091,10656.74,2511.32,0.0459,0.8351,33.12,457.26,27.02,327.97,161.96,465.16,0.0217,0.2320,0.48,0.0285,0.0819,0.1522,0.2326,0.4901,0.2229,53249.72,83236.17,51645.14,81219.23,0.0079,0.1979,0.1109,0.0309,0.3676,0.5362,0.5125,0.4400,0.0616,0.2747,0.0197,0.1723,524.88,12.17,0.2021,222.45,17,0.6958,0.0167,278.55,0.3876,0.1655
51,51,"St. Louis-St. Charles-Farmington, MO-IL","Midwest",38.6272733,-90.1978889,2009,1.94,1.04,3.38,2.15,2.71,4.40,87771122.30,42831.36,0.3858,0.3433,6077.98,78948.27,0.0278,0.0417,0.0418,4.62,0.0350,446.25,0.0824,0.2091,4193.64,2996.03,0.1409,0.9109,335.32,90.23,438.91,73.15,60.01,89.07,0.0371,0.2249,0.45,0.0531,0.1110,0.1465,0.2285,0.4841,0.2037,44480.08,36262.24,54167.00,1369.94,0.0567,0.0604,0.0236,0.0166,0.8336,0.0087,0.3681,0.7666,0.4633,0.4961,0.0259,0.0051,313.18,30.53,0.2594,166.55,29,0.7587,0.0202,89.72,0.2013,0.2748
52,52,"Tampa-St. Petersburg-Clearwater, FL","Southeast",27.9477595,-82.458444,2009,1.60,0.61,4.78,0.76,2.93,2.85,157511216.54,2440.29,0.0355,0.0007,42660.79,78905.40,0.0149,0.0188,0.1979,8.18,0.0343,265.45,0.2143,0.0293,6783.49,3923.55,0.0341,0.8209,365.39,456.56,190.84,67.68,149.18,345.90,0.0447,0.1646,0.19,0.0211,0.1070,0.1548,0.2336,0.5136,0.2124,47665.46,60971.98,81498.26,84176.88,0.1962,0.1746,0.2384,0.1628,0.2015,0.9183,0.1089,0.2040,0.8984,0.0972,0.0031,0.2206,274.89,0.58,0.2976,264.40,6,0.9635,0.0305,407.30,0.3787,0.4624
53,53,"Virginia Beach-Norfolk-Newport News, VA-NC","Southeast",36.8529841,-75.9774183,2009,0.72,1.80,1.86,4.26,0.74,1.22,621854776.00,98411.97,0.1247,0.0449,53029.68,49574.58,0.0226,0.0264,0.1427,7.68,0.0242,204.12,0.3248,0.0711,13873.59,2746.35,0.1621,0.9906,137.02,224.02,384.14,132.65,369.61,117.79,0.0486,0.1055,0.20,0.0302,0.0825,0.1348,0.2276,0.5095,0.2112,75303.83,11765.17,2920.72,52870.43,0.1879,0.1413,0.1983,0.0532,0.1236,0.5741,0.8352,0.5519,0.6375,0.6975,0.0285,0.1892,506.50,3.51,0.3472,289.95,28,0.5439,0.0573,371.36,0.5686,0.0027
54,54,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV","Northeast",38.8951148,-77.0363716,2009,1.39,2.60,4.33,1.89,4.68,1.62,409292075.97,30648.81,0.0101,0.4605,77984.45,36342.48,0.0221,0.0046,0.1882,3.47,0.0769,350.56,0.2784,0.3000,10968.60,6393.73,0.0886,0.9773,245.58,352.27,177.20,423.99,380.35,427.76,0.0230,0.1257,0.27,0.0433,0.0879,0.1306,0.2242,0.4804,0.2117,32557.87,93107.51,58088.57,36459.50,0.0688,0.1665,0.1068,0.1083,0.7023,0.7562,0.6971,0.1833,0.8268,0.7376,0.0069,0.2396,440.72,17.44,0.2900,182.13,45,0.9927,0.0945,127.06,0.1476,0.0087
55,1,"Albany-Schenectady-Amsterdam, NY","Northeast",42.6511674,-73.754968,2010,1.79,0.37,1.65,0.48,1.41,3.76,296726134.56,1323.73,0.3563,0.2780,63042.26,64010.69,0.0291,0.0765,0.1073,6.63,0.0602,44.15,0.4353,0.1011,6351.96,11024.04,0.2272,0.8458,294.68,421.35,393.79,281.31,157.68,398.76,0.0472,0.0699,0.23,0.0408,0.0833,0.1608,0.2421,0.4844,0.2222,54858.25,92611.11,92708.14,5160.34,0.0404,0.0501,0.1335,0.1215,0.1051,0.9998,0.0860,0.4404,0.4323,0.4932,0.0024,0.0878,96.99,39.66,0.0699,159.82,38,0.6102,0.0583,320.05,0.0891,0.4254
56,2,"Atlanta-Sandy Springs-Gainesville, GA-AL","Southeast",33.7490987,-84.3901849,2010,2.91,1.19,1.43,4.43,0.22,2.91,648158371.63,49491.62,0.0010,0.2610,15276.23,41972.04,0.0087,0.0065,0.0505,3.98,0.0543,0.47,0.4390,0.4186,196.10,7400.75,0.0962,0.8260,216.23,363.81,478.48,485.86,414.60,271.96,0.0135,0.1012,0.34,0.0213,0.0837,0.1589,0.2451,0.4747,0.2008,29138.04,57772.41,79227.64,87707.28,0.2167,0.0223,0.1692,0.2084,0.7061,0.4480,0.8019,0.9650,0.6890,0.2322,0.0113,0.1592,725.25,28.43,0.2768,346.44,47,0.7057,0.0323,305.36,0.8692,0.3096
57,3,"Austin-Round Rock, TX","Southwest",30.2711286,-97.7436995,2010,3.26,4.42,2.17,4.80,1.87,4.33,115526273.10,41972.24,0.4394,0.0477,68987.63,69191.08,0.0272,0.0532,0.1447,2.33,0.0362,443.62,0.4750,0.1845,9930.21,14792.22,0.1200,0.8977,425.11,171.13,197.57,253.45,250.98,128.95,0.0450,0.2106,0.39,0.0489,0.0813,0.1543,0.2482,0.4953,0.1902,62069.97,31820.12,98361.33,31416.22,0.0981,0.0515,0.0203,0.1747,0.8004,0.7539,0.9453,0.7850,0.8670,0.2742,0.0072,0.1894,405.99,42.51,0.2756,198.21,31,0.7012,0.0591,372.19,0.4050,0.2801
58,4,"Birmingham-Hoover-Cullman, AL","Southeast",33.5206824,-86.8024326,2010,1.47,2.13,4.87,4.83,3.24,1.87,239047732.16,4268.40,0.3104,0.0895,12163.85,4253.22,0.0174,0.2231,0.1949,9.35,0.0727,367.09,0.2284,0.0164,9442.28,2210.13,0.1845,0.9694,105.55,134.17,347.86,96.95,449.54,395.11,0.0194,0.1039,0.15,0.0319,0.0885,0.1300,0.2552,0.4919,0.1980,45813.09,15308.73,55365.94,70301.36,0.1680,0.0766,0.0630,0.0533,0.3664,0.3058,0.8271,0.2115,0.2480,0.6890,0.0024,0.0098,371.81,10.47,0.0332,130.35,52,0.9039,0.0309,20.18,0.9230,0.1681
59,5,"Boston-Worcester-Manchester, MA-RI-NH","Northeast",42.3604823,-71.0595678,2010,2.80,2.28,0.63,0.33,1.66,1.83,318728159.37,86839.33,0.1473,0.1507,82524.46,59808.68,0.0110,0.0517,0.0751,0.62,0.0175,342.09,0.1247,0.0722,9779.36,1660.59,0.0543,0.8270,478.58,241.49,438.68,365.15,61.06,320.61,0.0447,0.1307,0.19,0.0423,0.0969,0.1473,0.2569,0.4813,0.2090,86881.11,93592.73,9109.52,21410.58,0.0878,0.0171,0.1718,0.2032,0.3111,0.3502,0.1904,0.2581,0.0795,0.1057,0.0192,0.0513,603.16,1.13,0.4159,387.13,10,0.7659,0.0304,296.95,0.8903,0.1185
60,6,"Buffalo-Niagara-Cattaraugus, NY","Northeast",42.8864468,-78.8783689,2010,2.69,2.26,1.99,3.19,4.30,0.84,888554863.35,87033.93,0.4291,0.0575,23430.07,93234.07,0.0003,0.2212,0.0932,2.20,0.0385,467.59,0.0601,0.2446,14917.55,9198.77,0.1723,0.9012,239.63,166.25,467.20,364.04,383.35,103.46,0.0332,0.1313,0.34,0.0389,0.0941,0.1412,0.2577,0.5136,0.1907,74546.63,52087.07,70650.18,77619.46,0.0172,0.2329,0.1386,0.1895,0.3562,0.7542,0.3537,0.7826,0.6401,0.9424,0.0036,0.1693,502.53,1.14,0.2132,117.13,53,0.8428,0.0955,499.30,0.4148,0.3833
61,7,"Charlotte-Gastonia-Salisbury, NC-SC","Southeast",35.2270869,-80.8431268,2010,2.44,4.03,2.67,1.75,4.11,2.82,798575864.59,4197.89,0.1554,0.1118,54266.43,73541.55,0.0301,0.2413,0.0817,0.02,0.0657,259.93,0.4277,0.1996,14596.65,4035.14,0.1485,0.9062,313.98,52.01,454.86,222.66,403.30,296.59,0.0303,0.0344,0.14,0.0291,0.1088,0.1616,0.2303,0.4939,0.2244,25320.42,63507.29,75495.90,89258.83,0.2301,0.1724,0.0080,0.2016,0.1739,0.3441,0.3424,0.0910,0.1214,0.8675,0.0272,0.0417,654.20,26.59,0.1628,219.33,63,0.9781,0.0657,487.40,0.4172,0.4661
62,8,"Chicago-Naperville-Michigan City, IL-IN-WI","Midwest",41.8756208,-87.6243706,2010,1.05,0.70,1.24,1.97,0.63,3.69,444065076.72,74537.10,0.3583,0.2303,57434.57,78002.79,0.0152,0.1480,0.0973,3.46,0.0784,346.38,0.3491,0.3385,12029.33,11159.58,0.1545,0.8954,434.77,35.02,373.36,158.78,319.03,134.04,0.0131,0.1915,0.04,0.0266,0.0877,0.1487,0.2474,0.5118,0.2200,9340.63,68960.69,85594.12,75949.73,0.1574,0.0885,0.1365,0.1067,0.8047,0.8146,0.4185,0.7586,0.3840,0.3534,0.0073,0.1747,636.17,45.41,0.4063,216.31,45,0.5751,0.0658,424.15,0.1682,0.0255
63,9,"Cincinnati-Middletown-Wilmington, OH-KY-IN","Midwest",39.1014537,-84.5124602,2010,1.82,4.19,1.11,2.05,0.30,4.84,527106819.63,9355.09,0.2808,0.2203,15674.63,22909.72,0.0247,0.1973,0.0843,8.46,0.0533,90.30,0.0021,0.4561,4599.81,12705.56,0.2027,0.9381,197.63,90.43,468.30,343.11,354.09,231.37,0.0296,0.0566,0.24,0.0464,0.0917,0.1586,0.2437,0.4901,0.1981,3239.46,73257.25,47905.90,64357.45,0.0266,0.1269,0.1681,0.1166,0.4957,0.9924,0.3224,0.9614,0.3355,0.1202,0.0198,0.0792,120.80,25.50,0.0592,277.15,76,0.6221,0.0254,12.79,0.6101,0.1681
64,10,"Cleveland-Akron-Elyria, OH","Midwest",41.4871888,-81.6778691,2010,2.14,4.76,3.21,0.22,0.91,4.63,728388416.07,23837.84,0.2712,0.3280,9016.27,59445.16,0.0031,0.0470,0.0662,1.58,0.0763,83.78,0.2177,0.2250,9049.96,208.28,0.0799,0.8279,378.80,63.03,56.70,222.47,456.40,6.55,0.0415,0.1183,0.01,0.0452,0.0936,0.1302,0.2301,0.4822,0.2116,76213.36,67625.80,42586.23,8027.39,0.1979,0.1617,0.0881,0.1616,0.2234,0.6381,0.6637,0.0522,0.3475,0.6204,0.0116,0.0453,589.61,22.19,0.2918,136.43,67,0.7715,0.0790,180.61,0.3479,0.2113
65,11,"Columbus-Marion-Chillicothe, OH","Midwest",39.9622601,-83.0007065,2010,1.00,3.62,4.62,3.47,3.97,2.75,905901171.69,50401.48,0.0992,0.0812,10544.43,3508.34,0.0330,0.1398,0.1390,6.96,0.0002,226.14,0.4356,0.4701,11987.52,1985.28,0.0542,0.9728,379.80,457.51,190.54,490.57,217.01,483.39,0.0248,0.2111,0.21,0.0418,0.0881,0.1372,0.2258,0.4839,0.1909,9961.79,60346.31,43872.47,9334.48,0.1264,0.1593,0.0570,0.1710,0.1921,0.7078,0.8876,0.3601,0.7397,0.4783,0.0214,0.1352,562.10,9.38,0.3326,204.02,29,0.9443,0.0716,462.72,0.8730,0.0460
66,12,"Dallas-Fort Worth, TX","Southeast",32.7801052,-96.8000082,2010,0.85,2.36,2.69,1.57,4.06,3.78,1024079270.85,34706.67,0.3357,0.2030,23540.41,38714.43,0.0187,0.0560,0.1120,5.68,0.0448,106.55,0.4825,0.1535,11624.47,14144.87,0.0966,0.9594,405.50,225.53,485.86,19.17,324.26,50.94,0.0059,0.0117,0.26,0.0484,0.0984,0.1516,0.2234,0.4918,0.1887,95320.47,22845.34,9847.24,3805.73,0.1894,0.1553,0.2045,0.0869,0.4660,0.9429,0.3626,0.5407,0.8081,0.9785,0.0092,0.1332,512.31,17.66,0.0181,355.40,25,0.7705,0.0405,432.53,0.9960,0.0746
67,13,"Dayton-Springfield-Greenville, OH","Midwest",39.7589478,-84.1916069,2010,1.48,1.10,3.37,2.77,0.38,3.83,615591776.74,68237.25,0.1099,0.4481,19538.64,68679.88,0.0246,0.2114,0.1462,6.03,0.0795,41.22,0.1653,0.4175,8386.53,12416.45,0.2440,0.9477,416.01,338.01,383.09,195.23,264.19,15.06,0.0251,0.0384,0.16,0.0418,0.0997,0.1509,0.2436,0.5076,0.2135,48404.50,52201.89,15517.47,53150.13,0.1432,0.2048,0.0439,0.1238,0.7546,0.7314,0.5741,0.7567,0.3001,0.8514,0.0129,0.1906,314.83,5.36,0.1842,193.99,33,0.7040,0.0368,253.61,0.8058,0.3614
68,14,"Denver-Aurora-Boulder, CO","West",39.7391536,-104.9847034,2010,0.65,0.73,0.01,0.04,2.98,1.61,179728013.42,4150.80,0.0408,0.1584,73206.13,73450.95,0.0010,0.0010,0.1380,3.90,0.0038,53.75,0.4093,0.3979,9471.31,7801.54,0.1376,0.8072,319.18,281.90,41.58,303.36,177.91,357.51,0.0476,0.1156,0.28,0.0219,0.0823,0.1573,0.2242,0.4785,0.2043,1150.06,53109.81,936.06,52840.88,0.0766,0.0237,0.0554,0.0130,0.4207,0.1881,0.4150,0.9132,0.8249,0.0600,0.0201,0.0079,423.06,39.45,0.2075,156.27,61,0.7701,0.0326,175.96,0.4138,0.0208
69,15,"Detroit-Warren-Flint, MI","Midwest",42.3486635,-83.0567375,2010,0.83,3.79,3.54,0.03,3.21,2.18,632765885.86,70982.18,0.0921,0.4306,58713.80,63740.80,0.0038,0.1589,0.0242,2.52,0.0010,175.45,0.2735,0.3714,948.56,3537.71,0.1762,0.8583,310.93,279.12,188.88,223.18,123.59,11.44,0.0319,0.0624,0.40,0.0467,0.1056,0.1510,0.2428,0.4720,0.2199,4918.41,88799.81,60174.89,530.95,0.0665,0.1591,0.2245,0.0467,0.8828,0.2722,0.7726,0.1786,0.4664,0.0701,0.0171,0.0075,217.77,26.98,0.0283,201.75,10,0.5610,0.0562,404.72,0.5793,0.3358
70,16,"Fresno-Madera, CA","Southwest",36.7294455,-119.70886061,2010,1.53,3.50,0.95,0.10,4.62,3.06,375585525.48,78482.58,0.0939,0.4926,62240.29,11712.40,0.0194,0.0968,0.1270,5.65,0.0588,121.07,0.2984,0.0991,9999.79,2110.75,0.1452,0.9579,450.23,245.80,265.06,446.23,227.15,92.35,0.0153,0.0153,0.38,0.0305,0.0845,0.1417,0.2328,0.4969,0.2232,21061.90,31974.61,64063.92,49154.62,0.1212,0.0482,0.1426,0.2482,0.9620,0.3431,0.3579,0.0042,0.0220,0.1109,0.0108,0.1796,50.23,27.21,0.2570,310.93,19,0.7503,0.0773,4.63,0.9279,0.1527
71,17,"Grand Rapids-Muskegon-Holland, MI","Midwest",42.9633599,-85.6680863,2010,1.47,0.08,1.41,2.59,1.72,0.66,585407467.05,63034.40,0.3620,0.3178,81272.89,88790.15,0.0136,0.0911,0.0607,3.67,0.0352,338.15,0.3029,0.0013,9595.21,9543.85,0.0423,0.9336,403.65,331.52,363.03,90.04,456.11,139.20,0.0112,0.0544,0.40,0.0257,0.0955,0.1308,0.2590,0.4711,0.1832,78261.71,3047.01,10293.60,7306.97,0.0935,0.1192,0.2243,0.1468,0.0585,0.7972,0.7529,0.2247,0.8641,0.0280,0.0288,0.0153,213.90,33.86,0.0631,134.05,22,0.5562,0.0197,34.62,0.0378,0.2245
72,18,"Greensboro--Winston-Salem--High Point, NC","Southeast",36.0726355,-79.7919754,2010,2.33,2.13,0.38,4.06,3.31,2.95,913199203.74,54086.26,0.1593,0.0902,69447.61,37191.98,0.0208,0.1244,0.0422,3.78,0.0174,404.25,0.1005,0.3816,5300.21,1591.53,0.2413,0.9752,109.57,420.74,287.37,373.23,357.02,303.45,0.0106,0.1399,0.43,0.0340,0.0860,0.1336,0.2212,0.5089,0.1906,99269.58,60319.43,76748.62,87683.77,0.1440,0.1693,0.0126,0.0730,0.3848,0.8462,0.0521,0.2609,0.7918,0.1545,0.0136,0.0158,254.47,38.56,0.4995,181.42,20,0.9367,0.0127,145.56,0.2079,0.1935
73,19,"Greenville-Spartanburg-Anderson, SC","Southeast",34.8512316,-82.3985105,2010,3.37,4.72,3.75,3.75,0.90,0.41,704830707.94,86942.38,0.5000,0.1238,51527.71,73383.88,0.0032,0.1777,0.0581,6.67,0.0467,247.41,0.2429,0.2776,10062.93,7702.70,0.0717,0.8294,117.16,429.18,258.19,146.51,267.79,271.98,0.0318,0.1753,0.49,0.0315,0.0884,0.1574,0.2346,0.4991,0.2221,26611.20,31695.01,38577.99,31770.56,0.2320,0.2400,0.1935,0.1258,0.2447,0.0184,0.1501,0.5186,0.4060,0.5078,0.0197,0.1354,382.38,9.22,0.4015,146.33,34,0.8709,0.0796,342.83,0.0096,0.4293
74,20,"Hartford-West Hartford-Willimantic, CT","Northeast",41.765599,-72.69058501,2010,4.26,2.06,3.96,0.51,2.73,4.38,789645849.45,63685.79,0.1841,0.0838,19689.97,26195.74,0.0262,0.2021,0.0259,7.06,0.0177,219.13,0.0542,0.4611,474.03,11871.45,0.0591,0.9576,331.18,253.42,439.17,228.41,105.51,17.99,0.0025,0.1453,0.29,0.0222,0.0987,0.1534,0.2560,0.5141,0.2000,21997.06,67297.91,54302.59,58182.12,0.0740,0.0297,0.1779,0.0921,0.1348,0.2316,0.0621,0.1598,0.1961,0.7760,0.0022,0.1029,232.04,13.92,0.2142,127.75,62,0.7464,0.0308,448.42,0.1625,0.3206
