id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index
198,36,"Oklahoma City-Shawnee, OK",West,35.47074190,-97.51988060,2012,1.9,1.15,2.69,2.22,2.07,1.34
199,37,"Orlando-Deltona-Daytona Beach, FL",Southeast,28.54211750,-81.37904620,2012,2.11,1.45,2.41,2.71,2.61,1.4
200,38,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",Northeast,39.95233500,-75.16378900,2012,2.5,2.42,3.15,2.16,3.03,1.75
201,39,"Phoenix-Mesa-Glendale, AZ",Southwest,33.36116800,-112.12130217,2012,1.01,1.11,-99,-99,1.8,0.12
202,40,"Pittsburgh-New Castle, PA",Midwest,40.44169410,-79.99008610,2012,2.22,1.66,3.22,2.18,2.44,1.61
203,41,"Portland-Vancouver-Hillsboro, OR-WA",West,45.52024710,-122.67419490,2012,2.04,2.23,-99,-99,3.73,0.17
204,42,"Raleigh-Durham-Cary, NC",Southeast,35.78040150,-78.63907790,2012,2.48,0.91,3.99,2.64,3.4,1.47
205,43,"Richmond, VA",Southeast,37.54123900,-77.44201830,2012,1.43,1.16,-99,-99,3.02,0.12
206,44,"Rochester-Batavia-Seneca Falls, NY",Northeast,43.15728510,-77.61521410,2012,2.29,0.7,2.9,2.55,3.71,1.58
207,45,"Sacramento-Arden-Arcade-Yuba City, CA-NV",West,38.47322590,-121.29807070,2012,2.17,0.78,3.01,2.78,2.55,1.71
208,46,"Salt Lake City-Ogden-Clearfield, UT",West,40.76064670,-111.89109000,2012,2.68,1.67,3.37,3.81,2.97,1.58
209,47,"San Antonio-New Braunfels, TX",Southwest,29.42460020,-98.49514050,2012,1.32,1.43,-99,-99,2.43,0.11
210,48,"San Diego-Carlsbad-San Marcos, CA",Southwest,32.74698690,-117.21177000,2012,1.09,0.94,-99,-99,2.06,0.29
211,49,"San Jose-San Francisco-Oakland, CA",West,37.34385020,-121.88313490,2012,2.89,2.85,3.66,2.47,3.61,1.86
212,50,"Seattle-Tacoma-Olympia, WA",West,47.60383210,-122.33006240,2012,2.9,3.12,3.33,3.05,3.16,1.85
213,51,"St. Louis-St. Charles-Farmington, MO-IL",Midwest,38.62727330,-90.19788890,2012,2.06,1.86,2.99,2.41,1.7,1.31
214,52,"Tampa-St. Petersburg-Clearwater, FL",Southeast,27.94775950,-82.45844400,2012,1.68,1.68,-99,-99,3.26,0.1
215,53,"Virginia Beach-Norfolk-Newport News, VA-NC",Southeast,36.85298410,-75.97741830,2012,1.63,1.69,-99,-99,3.08,0.13
216,54,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Northeast,38.89511480,-77.03637160,2012,3.47,3.87,3.95,3.59,2.85,3.07
